timestamp,tempP_0,tempS_0,tempP_1,tempS_1,temp_chmbr
2026-05-22T02:07:42.093229,30.32, 17.11, 28.74, 16.05,35
2026-05-22T02:07:43.095692,29.85, 16.62, 29.69, 15.56,35
2026-05-22T02:07:44.098692,30.32, 16.62, 29.22, 16.05,35
2026-05-22T02:07:45.102670,29.85, 16.62, 29.69, 16.05,35
2026-05-22T02:07:46.103229,30.32, 17.11, 29.69, 16.05,35
2026-05-22T02:07:47.105700,29.85, 17.11, 28.74, 16.54,35
2026-05-22T02:07:48.108700,29.85, 17.11, 28.74, 16.05,35
2026-05-22T02:07:49.112677,29.85, 17.11, 29.22, 16.05,35
2026-05-22T02:07:50.113249,29.38, 16.62, 29.22, 16.05,35
2026-05-22T02:07:51.115727,30.80, 16.13, 29.69, 15.56,35
2026-05-22T02:07:52.118726,29.85, 17.11, 29.22, 16.05,35
2026-05-22T02:07:53.121747,29.85, 16.62, 28.74, 16.05,35
2026-05-22T02:07:54.122575,29.85, 17.11, 29.22, 16.05,35
2026-05-22T02:07:55.124758,29.85, 16.62, 29.69, 16.05,35
2026-05-22T02:07:56.128751,29.85, 17.11, 29.22, 16.05,35
2026-05-22T02:07:57.131725,29.85, 17.11, 29.22, 16.54,35
2026-05-22T02:07:58.132282,30.32, 16.62, 29.69, 15.56,35
2026-05-22T02:07:59.134801,30.32, 16.62, 28.74, 17.03,35
2026-05-22T02:08:00.138759,30.32, 16.62, 30.16, 16.05,35
2026-05-22T02:08:01.141771,29.85, 17.11, 29.22, 17.03,35
2026-05-22T02:08:02.142352,30.32, 16.62, 29.69, 15.56,35
2026-05-22T02:08:03.144800,29.85, 17.11, 29.22, 16.54,35
2026-05-22T02:08:04.148786,30.80, 16.13, 29.69, 16.05,35
2026-05-22T02:08:05.151793,29.85, 17.11, 29.22, 16.05,35
2026-05-22T02:08:06.152340,30.80, 17.11, 29.69, 16.05,35
2026-05-22T02:08:07.154837,30.32, 17.11, 29.22, 16.05,35
2026-05-22T02:08:08.157822,29.85, 17.11, 29.69, 16.54,35
2026-05-22T02:08:09.161813,30.32, 16.62, 30.16, 15.56,35
2026-05-22T02:08:10.162388,29.85, 17.11, 29.69, 16.05,35
2026-05-22T02:08:11.164802,29.85, 17.11, 29.22, 16.54,35
2026-05-22T02:08:12.167842,30.32, 17.11, 29.22, 16.54,35
2026-05-22T02:08:13.171822,30.80, 16.62, 29.69, 15.56,35
2026-05-22T02:08:14.172392,30.32, 17.11, 29.22, 16.54,35
2026-05-22T02:08:15.174867,29.85, 17.11, 29.69, 16.54,35
2026-05-22T02:08:16.177858,30.32, 16.62, 29.69, 16.05,35
2026-05-22T02:08:17.181834,30.32, 17.11, 29.69, 16.54,35
2026-05-22T02:08:18.182442,30.32, 17.11, 29.69, 16.54,35
2026-05-22T02:08:19.183873,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:20.187881,30.32, 17.11, 29.22, 15.56,35
2026-05-22T02:08:21.190867,29.85, 17.11, 29.22, 16.54,35
2026-05-22T02:08:22.191474,30.32, 17.11, 29.69, 16.05,35
2026-05-22T02:08:23.193910,30.32, 17.11, 29.69, 16.05,35
2026-05-22T02:08:24.197896,30.80, 16.62, 30.16, 15.56,35
2026-05-22T02:08:25.200882,30.32, 17.11, 29.22, 16.54,35
2026-05-22T02:08:26.201458,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:27.203928,30.32, 17.11, 29.22, 17.03,35
2026-05-22T02:08:28.207921,30.80, 17.11, 29.69, 16.05,35
2026-05-22T02:08:29.210890,30.32, 17.11, 29.22, 16.54,35
2026-05-22T02:08:30.211523,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:31.213944,30.32, 17.11, 29.69, 16.54,35
2026-05-22T02:08:32.216938,31.27, 17.11, 29.69, 16.05,35
2026-05-22T02:08:33.220923,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:34.221495,30.32, 17.11, 29.69, 16.54,35
2026-05-22T02:08:35.223918,31.27, 17.11, 30.16, 16.05,35
2026-05-22T02:08:36.226966,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:37.230927,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:38.231523,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:39.233982,30.80, 17.11, 30.16, 16.54,35
2026-05-22T02:08:40.236947,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:41.241563,30.32, 17.11, 29.69, 16.54,35
2026-05-22T02:08:42.242144,30.80, 17.60, 29.69, 16.54,35
2026-05-22T02:08:43.242940,30.32, 17.60, 29.69, 16.54,35
2026-05-22T02:08:44.246979,30.80, 17.11, 29.69, 16.54,35
2026-05-22T02:08:45.250012,30.80, 17.11, 29.69, 17.03,35
2026-05-22T02:08:46.250607,31.27, 17.11, 30.64, 16.05,35
